code,similarity,nl
find Path -name Regex -print,find path -name regex -print,find all file and directori name _REGEX in entir filesystem
find Path -name Regex | xargs -i -I {} echo Regex Regex {} {},find path -name regex | xargs -i -i {} echo regex regex {} {},find all _REGEX file and directori under current directori and print _REGEX where _REGEX will expand to file path
find Path -name Regex -type f -delete,find path -name regex -type f -delete,delet all _REGEX file under _FILE directori
df File | grep -q Regex,df file | grep -q regex,check whether _FILE is a mount point with no output and use exit code
diff File File | grep Regex | sed Program,diff file file | grep regex | sed program,output all line from _REGEX except those present in _REGEX assum both file are sort
pstree -a Regex,pstree -a regex,print process tree with command line argument of a process have id _REGEX
find Path -type f -perm Permission -print,find path -type f -perm permission -print,find all file in current directori recurs whose permiss are _NUMBER
find /usr /home /tmp -name *.jar 2>/dev/null,find /usr /home /tmp -name *.jar 2>/dev/null,list all _FILE file and directori under _FILE _FILE and _FILE directori without report error
kill -9 $(lsof -t -i:8080),kill -9 $(lsof -t -i:8080),send sigkil signal to all process use tcp port _NUMBER termin them instant
find Path -not -path Regex -type f -print0 | xargs -0 -I {} sed -i Program {},find path -not -path regex -type f -print0 | xargs -0 -i {} sed -i program {},find all file ignor hidden file under current directori and replac everi occurr of _FILE with _FILE in those file
find / -print > masterfilelist.out,find / -print > masterfilelist.out,find all file and directori in entir file system and redirect output to _FILE file
find Path -name Regex -exec nano {} \;,find path -name regex -exec nano {} \;,open all file name _REGEX with _REGEX editor in entir filesystem
mount --make-rprivate /,mount --make-rprivate /,recurs make all mount under _DIRECTORY privat
alias my_command=$oldalias -option 3,alias my_command=$oldalias -option 3,set alia _REGEX for command _REGEX
find Path -empty,find path -empty,find empti file in test directori
find Path -name Regex -mtime +Timespan,find path -name regex -mtime +timespan,find all file in current folder that a singl letter in name and not been modifi _DATETIME
find Path -not -newer File,find path -not -newer file,search for all file not newer than file _FILE
find Path ! -perm Permission -exec chmod Permission {} \;,find path ! -perm permission -exec chmod permission {} \;,chang permiss to _NUMBER for all regular file under _DIRECTORY tree unless these permiss are alreadi set
find / ( -name 10_Recommended* -o -name share ) -prune -o -type f -name java -print 2>/dev/null,find / ( -name 10_recommended* -o -name share ) -prune -o -type f -name java -print 2>/dev/null,search for regular file _FILE in entir file system exclud search in directori share and those start with _REGEX and discard all error
cd Directory,cd directory,go to directori _FILE file use backslash to escap special charact
find Path -type d -user Regex -exec chown Regex {} \;,find path -type d -user regex -exec chown regex {} \;,chang ownership to user daili for all directori under current directori that are own by harri
find Path -type f -iwholename Regex -exec grep -H Regex {} \;,find path -type f -iwholename regex -exec grep -h regex {} \;,identifi cms _FILE accross all wordpress websit
find . -name *.txt -exec ls -la {} ; -exec ./myScript.sh {} ;,find . -name *.txt -exec ls -la {} ; -exec ./myscript.sh {} ;,display long list of all text file in current folder and execut script _FILE by pass output of previous exec as input
find Path -maxdepth Quantity -type f -print0 | xargs -0 -I {} sed -i Program {},find path -maxdepth quantity -type f -print0 | xargs -0 -i {} sed -i program {},find all regular file under current directori and replac everi occurr of _REGEX with _REGEX in those file
read -p $( pwd -P ) Regex,read -p $( pwd -p ) regex,read a line of standard input into variabl _REGEX with prompt as current work directori follow by _REGEX
find Path -type d -perm Permission,find path -type d -perm permission,find all directori start from _DIRECTORY that permiss _NUMBER
find Path -mtime +Timespan -mtime -Timespan,find path -mtime +timespan -mtime -timespan,find file in _FILE folder which were modifi modifi _TIMESPAN ago
false true,false true,return exit status _NUMBER
find Path -type f -exec chmod Permission {} \;,find path -type f -exec chmod permission {} \;,chang permiss of all regular file in current directori
basename -- Regex,basename -- regex,set variabl _REGEX to name of run script or shell login shell a hyphen append to begin of name such as _REGEX
od -x -c -b File | less,od -x -c -b file | less,dump _REGEX as a _SIZE hexadecim charact and octal valu and view content in _REGEX
cat File,cat file,print content of _REGEX
